chem_id,predicted_1-octanol,predicted_butyl acetate,predicted_chloroform,predicted_cyclohexane,predicted_dichloromethane,predicted_triolein,predicted_n-hexane,predicted_n-octane,predicted_oleylalcohol,predicted_toluene,predicted_n-undecane
180.08@8.13,1.5116142356434252,1.4251570315361322,1.381170945966411,-0.4678019822873218,1.1346943709492334,0.17893206516172902,-0.5462438809819642,-0.6635722431095545,0.593915187067513,0.4776779043625794,-0.7944795092049943
192.081@0.909,0.21547195351104118,-1.7992734144885603,0.7814026940387907,-0.5570997006744605,0.21648705738881646,0.08946897865854057,-0.5014796107880605,-0.8322405495512667,-0.9446724201582157,-0.0029385463034343876,-0.8181564257626366
202.109@3.06,-0.252502965536708,-0.5170855545559766,0.09918103357843182,-2.042355093279309,-0.3481913973369192,-0.8923462654635913,-2.1061073519868048,-1.9624782422562228,-0.1741869075921209,-0.9575779203538508,-1.8833175381866525
206.131@11.147,0.7559248080062324,-0.5097106872649264,0.3243300786533261,-1.4484714371972978,1.1624392711070337,-0.3108196852637165,-1.3370018877493892,-1.3438282816136107,-0.5450455470675657,-0.5435118444801914,-1.4793281279708304
210.018@0.684,3.2099462118458986,1.3479715729466437,-2.4668937718124013,-1.5431614715918995,-1.991672997378081,-1.0851900172288542,-0.9334378895107912,-1.3024790791881466,1.8948595707487474,,
213.083@7.615,0.744240013977137,0.012827774474799224,0.44983824994249544,-1.0680019784725796,0.05068028770668444,-0.20647752115050488,-0.8924476176780403,-1.0339287144356442,-0.02659841193269655,-0.4188247449061417,-1.3219457885362884
214.063@8.459,1.5486845392623358,1.7973934195673793,1.7237035848892628,-0.37777526018921714,1.4941951345252038,0.04489901549336639,-0.7755003613230971,-0.7873582460085996,0.546245751293836,0.8432760942695526,-0.7582644391984876
216.063@0.8,0.6434076942217017,0.4212572673348758,0.4566529832242492,-0.5204669559381196,-0.1512826363840678,-0.015421011711822002,-0.26507576934280536,,0.11266989001073839,-0.34043993187421356,-0.5385596471663867
216.067@7.09,1.1991457215910653,1.4214080835038152,1.577501544388788,-0.6726950287187452,1.393694307139417,-0.001814456849082442,-1.0256474007287628,-1.0024666419792607,0.36017184239273625,0.5521280888212209,-0.8906375207041594
217.007@9.369,2.439130479601358,2.873143501123896,2.7075211874667984,0.9588635037318635,2.7756398789325765,1.166041439383367,0.6049274264843341,0.6184010907512324,1.48906373474584,2.083120391055376,0.5507255810551538
222.09@1.513,-2.9688068118458006,-7.449438879728163,3.635067048056175,-1.2963587617694945,1.8733850605628506,1.5524889033312312,-1.928665186287909,,-4.498455192940363,2.758824805518634,-2.2945503134352845
222.09@5.594,0.2897757928140819,0.049102314408682075,0.6819531735982294,-0.8990757472421288,0.6993750850413121,0.31064421123301256,-0.8174543642187302,-1.1082801179641117,-1.2779231412253191,-0.4010392585269883,-1.2931102191246004
232.017@8.372,3.0311000764206124,3.8608825855425994,2.7117297433365155,0.33132856169382796,2.7583449316861484,0.8652103843342887,-0.04868374933162512,-0.1369002090120451,2.4230547959917876,1.6575890073698292,0.0067847531346145505
236.178@5.4,0.49165969728240455,-2.7413795208517358,-1.7593448346794947,-0.9376248160127604,-2.179720835044976,-1.1328870384929468,-0.5792114379544037,-0.9153231264736901,-0.4158319172844423,-1.7387220841101472,-0.8848279756207393
236.178@8.435,-0.05186466878630595,-0.7954384858173361,-0.058636989395864945,-1.1891345854600708,-0.6347831890532236,-0.5456564740201776,-1.0309973617528663,-1.1482186949269824,-0.5687982234230542,-0.6955823091101115,-3.2793184293042663
236.179@6.038,0.9104249357149328,-0.46088182014914303,-0.5748009865419715,-0.8167805104587317,-0.9468054850067378,-0.44776316732954824,-0.6878296834032367,-0.8656752690240461,-0.08807592342898453,-0.8772734437492251,-1.0885626447564605
240.058@3.931,-1.2372720487879514,-1.2830625437113348,-0.3634124107157225,-2.198769939377894,-0.6488729601301139,-0.8630628366095621,-2.1677537417814476,-2.2237322149545826,-1.5583083359971808,-2.062947779024669,-2.4689648092181566
245.993@4.199,-0.3463068858091334,-1.5794374195422347,-0.30537495690533406,-0.6600839495515992,-0.5320270383712162,0.03900663148432802,-0.308579734364299,-1.409193385555093,-0.5672945623777358,-0.7648597287360486,-0.6571962260501819
245.994@3.862,-0.13530009988199634,-0.18042309031693718,-0.07031340528299831,-1.1301239509706116,0.045848530953595056,-0.5805217400733709,-1.2686454501708424,-1.101122987238752,0.21905456864450742,-0.559271631099893,-1.032592996154496
247.041@9.449,2.4871939726703483,2.684095503693377,2.7138780718447992,0.8994772253441516,2.688807459485608,1.2401298896659974,0.5659328361673103,0.5292809448910221,1.6925295301040897,2.039773465887363,0.4269580570807988
250.121@6.179,-2.382916856997321,-2.688477464867275,-0.8135805858185716,-1.682026783874901,-0.7542154447947885,-1.053048564852359,-2.8857013020466984,-1.4706244420813448,-0.26143853998120836,-1.516758416512285,-1.6287285541579217
255.022@9.958,2.244768365658792,2.2663132759483244,3.1804605173644664,1.684184581391571,2.8969802625031584,1.9500877726031016,1.5052051107445408,1.5456628099967833,1.7072154756058844,2.5252935874202787,1.3860559944459891
260.016@6.839,1.8104510609296816,2.915776337347619,2.06085605160172,-0.863554620707441,1.981032198122038,-0.12740019191675714,-1.224915622342498,-1.0689166542092088,1.2734686396949586,1.239883832637561,-1.1972795455633862
270.062@7.204,-0.30109276463050627,-0.9804123927668752,0.6738765379443538,-1.2701839799124741,-0.1466803453122309,-0.2776993688038025,-1.4247506161847476,-1.5428589189519766,-0.8855080787137859,-0.9431880546608026,-1.038523271258551
270.062@9.872,2.30649872511035,3.227456499016963,2.852530109542638,0.8571454310610208,2.903259357115713,0.9906635512980273,0.37132939568444395,0.439298304338011,1.4701686110002323,2.0684476010848742,0.41873157365703584
